NROW,NCOL,XORI,YORI,XINC,YINC,ROTATION,YFLIP,gridId,surfaceName,interpretationSetId,sourceProjectId
1791,1055,414860.9063,7260246,13.54667187,13.54667187,270,1,34146,LMUE_BASE_SHETLAND_G,267,1
1791,1055,414860.9063,7260246,13.54667187,13.54667187,270,1,34146,LMUE_BASE_SHETLAND_G,312,1
1538,1185,412842.8438,7257206.5,13.77899551,13.77899551,270,1,35122,thros_contour_Shetland_B,289,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34155,Triassic_Salt_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34155,Triassic_Salt_IL_g_G,225,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34155,Triassic_Salt_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,251,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,276,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,275,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,233,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,218,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,223,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,244,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,225,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,241,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,242,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34153,SHETLAND_Base_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34154,Springar_Base_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34154,Springar_Base_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34150,Tilje_Fm_34_Top_IL_g_G,267,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34150,Tilje_Fm_34_Top_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34150,Tilje_Fm_34_Top_IL_g_G,312,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34150,Tilje_Fm_34_Top_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34149,Aare_Fm_62_Top_IL_g_G,267,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34149,Aare_Fm_62_Top_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34149,Aare_Fm_62_Top_IL_g_G,312,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34149,Aare_Fm_62_Top_IL_g_G,225,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34149,Aare_Fm_62_Top_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,267,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,218,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,312,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,225,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,210,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,211,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34148,Aare_Fm_1_Top_IL_g_G,208,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,271,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,267,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,204,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,278,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,312,1
1300,836,419282.875,7274337,25,25,246.5799408,1,34152,Garn_Fm_Top_IL_g_G,225,1
